
===== bebop_1  (tempo 112.3)
  block   n  lag1  lag2  lag3  lag4  lag5  lag6   contrast
     12  52  0.222  0.403  0.203  0.521  0.220  0.394   0.318
     16  39  0.525  0.492  0.523  0.524  0.509  0.486   0.040
     18  34  0.296  0.209  0.268  0.415  0.267  0.213   0.206
     20  31  0.235  0.383  0.214  0.521  0.198  0.402   0.323
     22  28  0.274  0.234  0.310  0.380  0.272  0.215   0.164
     24  26  0.403  0.520  0.382  0.491  0.397  0.472   0.139
     28  22  0.214  0.443  0.228  0.511  0.196  0.401   0.315
     32  19  0.504  0.537  0.497  0.504  0.485  0.513   0.052
     36  17  0.202  0.426  0.223  0.494  0.203  0.377   0.292
     40  15  0.412  0.526  0.422  0.490  0.389  0.493   0.137
     44  14  0.245  0.385  0.224  0.514  0.187  0.362   0.326
     48  13  0.502  0.491  0.494  0.519  0.489  0.420   0.099

===== bebop_2  (tempo 123.0)
  block   n  lag1  lag2  lag3  lag4  lag5  lag6   contrast
     12  38  0.403  0.398  0.358  0.468  0.409  0.348   0.120
     16  28  0.522  0.371  0.445  0.400  0.353  0.367   0.168
     18  25  0.453  0.363  0.325  0.329  0.350  0.362   0.128
     20  22  0.404  0.356  0.399  0.339  0.360  0.342   0.064
     22  20  0.407  0.385  0.506  0.355  0.390  0.537   0.182
     24  19  0.399  0.460  0.343  0.383  0.391  0.387   0.116
     28  16  0.387  0.385  0.365  0.380  0.440  0.361   0.079
     32  14  0.390  0.436  0.423  0.351  0.471  0.426   0.120
     36  12  0.362  0.338  0.361  0.362  0.442  0.401   0.104
     40  11  0.344  0.347  0.325  0.371  0.489  0.362   0.164
     44  10  0.380  0.355  0.529  0.415  0.356  0.453   0.174
     48   9  0.463  0.394  0.347  0.491  0.442  0.466   0.144

===== bebop_4  (tempo 123.0)
  block   n  lag1  lag2  lag3  lag4  lag5  lag6   contrast
     12  40  0.449  0.511  0.454  0.446  0.445  0.478   0.066
     16  30  0.443  0.555  0.438  0.553  0.463  0.565   0.127
     18  26  0.232  0.466  0.236  0.487  0.251  0.398   0.255
     20  24  0.416  0.519  0.465  0.473  0.464  0.508   0.103
     22  22  0.221  0.420  0.233  0.494  0.249  0.457   0.272
     24  20  0.527  0.457  0.492  0.579  0.510  0.456   0.123
     28  17  0.458  0.496  0.420  0.435  0.426  0.519   0.099
     32  15  0.565  0.562  0.584  0.577  0.554  0.531   0.053
     36  13  0.481  0.498  0.406  0.464  0.404  0.528   0.124
     40  12  0.529  0.479  0.509  0.557  0.491  0.489   0.078
     44  11  0.427  0.511  0.477  0.464  0.472  0.513   0.086
     48  10  0.459  0.585  0.462  0.534  0.493  0.540   0.126

===== bebop_5  (tempo 123.0)
  block   n  lag1  lag2  lag3  lag4  lag5  lag6   contrast
     12  65  0.221  0.261  0.170  0.312  0.241  0.283   0.143
     16  49  0.322  0.226  0.311  0.379  0.284  0.220   0.159
     18  43  0.184  0.175  0.190  0.289  0.202  0.204   0.113
     20  39  0.243  0.265  0.252  0.285  0.191  0.261   0.094
     22  35  0.199  0.227  0.209  0.251  0.204  0.228   0.052
     24  32  0.269  0.323  0.292  0.226  0.270  0.266   0.096
     28  28  0.182  0.288  0.183  0.280  0.188  0.229   0.106
     32  24  0.241  0.390  0.221  0.334  0.218  0.289   0.172
     36  21  0.180  0.295  0.211  0.278  0.195  0.211   0.115
     40  19  0.265  0.293  0.273  0.217  0.258  0.209   0.084
     44  17  0.240  0.261  0.234  0.257  0.172  0.215   0.090
     48  16  0.319  0.229  0.279  0.298  0.226  0.165   0.154

===== memory_of_home  (tempo 103.4)
  block   n  lag1  lag2  lag3  lag4  lag5  lag6   contrast
     12  37  0.427  0.458  0.439  0.552  0.444  0.454   0.125
     16  28  0.480  0.458  0.548  0.473  0.465  0.539   0.090
     18  25  0.372  0.409  0.356  0.420  0.399  0.384   0.064
     20  22  0.398  0.434  0.429  0.484  0.476  0.458   0.087
     22  20  0.349  0.451  0.376  0.439  0.337  0.437   0.114
     24  18  0.471  0.569  0.441  0.564  0.458  0.519   0.129
     28  16  0.429  0.453  0.414  0.461  0.451  0.424   0.047
     32  14  0.466  0.498  0.571  0.471  0.483  0.566   0.105
     36  12  0.427  0.441  0.405  0.523  0.426  0.426   0.118
     40  11  0.432  0.487  0.457  0.477  0.452  0.517   0.085
     44  10  0.453  0.438  0.435  0.494  0.465  0.451   0.058
     48   9  0.570  0.565  0.522  0.563  0.511  0.549   0.059

[exited with code 0]
